gender,gender_value,age,university,degree_level,degree_major,academic_year,academic_value,cgpa,cgpa_value,residential_status,residental_value,campus_discrimination,campus_value,sports_engagement,sports_value,average_sleep,sleep_value,study_satisfaction,academic_workload ,academic_pressure,financial_concerns,social_relationships,depression,anxiety,isolation,future_insecurity,stress_relief_activities,Item1,Item2,Item3,Item4,Item5,Item6
Male,2,20,PU,Undergraduate,Data Science,2nd year,2,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,High,Very High,High,Medium,Low,Very Low,Very Low,Low,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Male,2,20,UET,Postgraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,High,High,Very Low,Medium,Medium,Medium,Medium,High,Online Entertainment,Online Entertainment,,,,,
Male,2,20,FAST,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,No,1,1-3 times,2,2-4 hrs,2,Very Satisfied,Very High,Very High,Medium,High,Low,Medium,Medium,Very Low,"Religious Activities, Sports and Fitness, Online Entertainment",Religious Activities,Sports and Fitness,Online Entertainment,,,
Male,2,20,UET,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Neutral,Very High,High,High,Very Low,Very High,Very High,Very High,Medium,Online Entertainment,Online Entertainment,,,,,
Female,1,20,UET,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Neutral,Very High,Very High,Low,Medium,Very High,Very High,High,High,Online Entertainment,Online Entertainment,,,,,
Female,1,20,UET,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Satisfied,Very High,Very High,Medium,Medium,Very High,Very High,Very High,Very High,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Male,2,26,PU,Postgraduate,Data Science,1st year,1,2.5-3.0,4,On-Campus,1,Yes,2,1-3 times,2,7-8 hrs,3,Satisfied,High,High,Very High,Low,Very High,High,High,Very High,"Social Connections, Online Entertainment",Social Connections,Online Entertainment,,,,
Male,2,22,PU,Undergraduate,Data Science,2nd year,2,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Neutral,High,High,Very High,High,Medium,Low,Low,High,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,Yes,2,1-3 times,2,4-6 hrs,1,Neutral,High,Medium,High,Low,Medium,High,Medium,Very High,"Religious Activities, Social Connections, Online Entertainment, Outdoor Activities",Religious Activities,Social Connections,Online Entertainment,Outdoor Activities,,
Male,2,23,COMSATS,Undergraduate,Computer Science,3rd year,3,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Very High,Medium,Very High,Very Low,Very High,Very High,Very High,Very High,Sports and Fitness,Sports and Fitness,,,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,2nd year,2,3.0-3.5,5,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,High,High,Very Low,High,Medium,Medium,Very Low,Medium,"Religious Activities, Online Entertainment",Religious Activities,Online Entertainment,,,,
Male,2,20,COMSATS,Undergraduate,Computer Science,3rd year,3,3.0-3.5,5,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Satisfied,Very High,High,High,High,Low,Medium,Very Low,Low,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",Religious Activities,Sports and Fitness,Social Connections,Online Entertainment,Outdoor Activities,
Male,2,21,COMSATS,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,On-Campus,1,No,1,No Sports,1,4-6 hrs,1,Very Satisfied,Medium,Very High,Very High,Very Low,High,High,High,Low,Nothing,Nothing,,,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Medium,High,Very High,Medium,Very High,High,Very High,Very Low,Religious Activities,Religious Activities,,,,,
Female,1,20,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Medium,Medium,Medium,Low,High,Medium,Very High,Medium,Religious Activities,Religious Activities,,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,7-8 hrs,3,Very Satisfied,Medium,Medium,High,Medium,Very Low,Very Low,Very Low,Medium,"Religious Activities, Social Connections, Online Entertainment",Religious Activities,Social Connections,Online Entertainment,,,
Female,1,20,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,No Sports,1,2-4 hrs,2,Very Satisfied,High,High,Medium,Very Low,Medium,Low,Medium,Very Low,Social Connections,Social Connections,,,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,7-8 hrs,3,Very Satisfied,Medium,Very High,Medium,Medium,Low,Low,Medium,Very Low,Religious Activities,Religious Activities,,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Satisfied,High,Medium,Medium,Low,High,High,Medium,Low,"Religious Activities, Creative Outlets, Social Connections",Religious Activities,Creative Outlets,Social Connections,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,Yes,2,1-3 times,2,4-6 hrs,1,Very Satisfied,High,High,Very High,Medium,Very High,Very High,High,Medium,Sports and Fitness,Sports and Fitness,,,,,
Female,1,20,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,1-3 times,2,7-8 hrs,3,Very Satisfied,High,High,Low,Medium,Very Low,Low,Low,Low,Social Connections,Social Connections,,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,Yes,2,No Sports,1,4-6 hrs,1,Satisfied,Very High,Very High,Low,Low,High,High,Very High,Very High,"Religious Activities, Social Connections",Religious Activities,Social Connections,,,,
Male,2,20,PU,Undergraduate,Data Science,2nd year,2,2.5-3.0,4,Off-Campus,2,No,1,No Sports,1,4-6 hrs,1,Neutral,Very High,Very High,Medium,Medium,High,High,Medium,High,Outdoor Activities,Outdoor Activities,,,,,
Male,2,20,UET,Undergraduate,Computer Science,3rd year,3,3.5-4.0,6,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,Very High,High,Very High,Medium,Very High,Very High,Very High,Medium,"Religious Activities, Online Entertainment",Religious Activities,Online Entertainment,,,,
Female,1,19,PU,Undergraduate,Data Science,1st year,1,3.5-4.0,6,Off-Campus,2,No,1,1-3 times,2,4-6 hrs,1,Very Satisfied,High,High,Very Low,Medium,Medium,High,Medium,Medium,"Religious Activities, Creative Outlets",Religious Activities,Creative Outlets,,,,
Male,2,19,PU,Undergraduate,Data Science,1st year,1,3.0-3.5,5,Off-Campus,2,No,1,7+ times,4,4-6 hrs,1,Very Satisfied,Very High,Medium,Very High,Very High,High,Very Low,Medium,Low,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities",Religious Activities,Sports and Fitness,Social Connections,Online Entertainment,Outdoor Activities,
